FID,Name,FolderPath,SymbolID,AltMode,Base,Clamped,Extruded,Snippet,PopupInfo,Shape_Leng,Shape_Area,Shape__Area,Shape__Length,GlobalID
56,North Hollywood West,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,54,0,0,-1,0, ,https://empowerla.org/nohowestnc/,0.117934705798,0.000599133913789,8977450.390625,14710.9540834844,2e6856fa-094e-44c2-8a9a-09b209000e8c
57,North Westwood,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,49,0,0,-1,0, ,http://empowerla.org/nwwnc/,0.0825799926263,0.000278262500615,4162617.5859375,10356.9694399797,b8c18046-86e4-49ac-95fe-e2f7d15d348e
58,Northridge East,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,56,0,0,-1,0, ,https://empowerla.org/nenc/,0.186864963449,0.00107047941413,16048257.46875,22730.409957214,7c5f071b-0fff-468a-9d50-2280aa515243
59,Northridge South,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,57,0,0,-1,0, ,https://empowerla.org/nsnc/,0.200497955257,0.0010836216788,16240937.1953125,23573.5016836725,fbc8e69c-9f93-42ca-bebb-5939ab0cbf87
60,Northridge West,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,10,0,0,-1,0, ,https://empowerla.org/nwnc/,0.135831661362,0.00102830909215,15416951.2734375,17048.0819905449,4a8af178-88ee-45db-9671-bdf5dbb89d0b
61,Northwest San Pedro,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,11,0,0,-1,0, ,https://empowerla.org/nwspnc/,0.21886919778,0.000825799146735,12308167.84375,26822.4754296783,e1cfb5c3-3191-46be-bcac-727b6df1a8ae
62,Olympic Park,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,60,0,0,-1,0, ,https://empowerla.org/opnc,0.112692948171,0.00028998646278,4337188.5859375,12990.3280917431,99f3567a-fb69-4168-afee-c4a24f31cd67
63,Pacoima,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,0,0,0,-1,0, ,https://empowerla.org/pnc,0.199740706202,0.00196870195754,29519586.3710938,24337.1839122783,5fb2188e-02f3-46a0-bf40-834725dff6cc
64,Palms,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,46,0,0,-1,0, ,https://empowerla.org/palmsnc/,0.11193666121,0.000248688272551,3718274.48046875,13322.8600419601,beae6f80-007e-4a50-8d5c-f0095fc87d48
65,Panorama City,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,0,0,0,-1,0, ,https://empowerla.org/pcnc,0.146222049976,0.00091239207468,13674141.3398438,17976.7966239727,8fc4b87f-5849-43f1-8def-dfbe71fb9bba
66,Park Mesa Heights,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,63,0,0,-1,0, ,https://empowerla.org/pmhcc,0.158098489194,0.00071741090059,10721716.703125,19297.8756119026,084a3e09-f0f4-4af9-82e7-11ba0a72bec0
